Department,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Dermatology or Allergy and Immunology Department,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,
Dermatology or Allergy and Immunology Department, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Dermatology or Allergy and Immunology Department,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Dermatology or Allergy and Immunology Department,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Dermatology or Allergy and Immunology Department,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,
Dermatology or Allergy and Immunology Department,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,
Gastroenterology or Gastrointestinal Surgery Department, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,
Infectious Disease or HIV/AIDS Clinic, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,
Endocrinology or Diabetology Department , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Endocrinology or Diabetology Department , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Endocrinology or Diabetology Department , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,
Gastroenterology or Infectious Disease Department, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Pulmonology or Respiratory Medicine Department, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Cardiology Department , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,
Cardiology Department , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,
Cardiology Department , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,
Cardiology Department , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,
Cardiology Department , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,
Cardiology Department , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,
Cardiology Department , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,
Cardiology Department , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,
Cardiology Department , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,
Cardiology Department , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,
Neurology Department, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,
Neurology Department, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,
Neurology Department, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,
Neurology Department, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,
Neurology Department, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,
Neurology Department, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,
Neurology Department, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,
Neurology Department, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,
Neurology Department, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,
Neurology Department, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,
Orthopedics or Physical Medicine and Rehabilitation Department, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Neurology or Neurosurgery Department, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, headache, altered_sensorium,,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Neurology or Neurosurgery Department, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,
Neurology or Neurosurgery Department, vomiting, headache, altered_sensorium,,,,,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,
Gastroenterology or Hepatology Department, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,
Infectious Disease Department, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,
Infectious Disease Department, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,
Infectious Disease Department, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,
Infectious Disease Department, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,
Infectious Disease Department, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,
Infectious Disease Department, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,
Infectious Disease Department, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,
Infectious Disease Department, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,,,,,,,,,,
Infectious Disease Department, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,,,,,,,,,,
Infectious Disease Department, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,
Infectious Disease or Pediatrics Department, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Pediatrics Department,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,,,,,,,
Infectious Disease or Hematology Department, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,,,,
Infectious Disease or Hematology Department, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body,,,,
Infectious Disease or Hematology Department, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain,,,,
Infectious Disease or Hematology Department, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,
Infectious Disease or Hematology Department, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,
Infectious Disease or Hematology Department, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,
Infectious Disease or Hematology Department, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,
Infectious Disease or Hematology Department, skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,
Infectious Disease or Hematology Department, skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,
Infectious Disease or Hematology Department, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain,,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos),,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,
Infectious Disease or Gastroenterology Department, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,
Infectious Disease or Gastroenterology Department, chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,
Gastroenterology or Hepatology Department, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,
Gastroenterology or Hepatology Department, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department,itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, lethargy, yellowish_skin, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history,,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,
Gastroenterology or Hepatology Department, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, nausea, yellowing_of_eyes, family_history,,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history,,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,
Gastroenterology or Hepatology Department, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,
Gastroenterology or Hepatology Department, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,
Gastroenterology or Hepatology Department, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,
Gastroenterology or Hepatology Department, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,
Gastroenterology or Hepatology Department, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,
